PRACTICE_ID,STATE,NUM_EPS_VM,GPRO,ELIG_UP_ADJUST,CATEGORY,VM_PAYMENT_ADJ,UPDATED_VM,COST_COMP_TIER_TEXT,QUAL_COMP_TIER_TEXT,ZB_COST_CMPSCR_POOL_RND,ZB_QUAL_CMPSCR_POOL_RND
10827331522,ME,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
10841620239,KY,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.05,0.43
10847045554,NY,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,.,.
10867441302,AZ,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.23,0.77
10901259734,PA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,.,.
10903385368,FL,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,2.94,-2.55
10913689237,MA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-1.55,.
10927196693,MT,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.07,0.58
10952017515,MI,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.17,0.21
10955457371,OH,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,2.97,-2.05
10970745082,TX,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,0.34,-4.86
10987931611,MI,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
11014629954,NY,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
11048464056,IN,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.97,.
11072390913,TN,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.15,-0.49
11077645512,NC,100+ EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.11,0.10
11088226936,IN,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.04,0.63
